"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","pH","sulphates","alcohol","quality","type_wine"
"982",9.5,0.86,0.26,1.9,0.079,28,3.25,0.62,10,5,1
"1146",8.2,0.2,0.43,2.5,0.076,51,3.53,0.81,10.4,6,1
"1859",5.8,0.36,0.38,0.9,0.037,75,3.28,0.34,11.4,4,0
"492",9.2,0.41,0.5,2.5,0.055,25,3.34,0.79,13.3,7,1
"5646",7.2,0.17,0.28,17.55,0.05,154,2.94,0.43,9,7,0
"5654",7.2,0.17,0.28,17.55,0.05,154,2.94,0.43,9,7,0
"2810",9.2,0.28,0.41,1,0.042,59,2.96,0.25,10.5,6,0
"3851",7.4,0.18,0.29,1.4,0.042,101,3.54,0.6,10.5,7,0
"4355",6.6,0.34,0.18,6.4,0.082,240,3.42,0.48,9.2,5,0
"2680",6.8,0.15,0.33,4.7,0.059,118,3.43,0.39,9,7,0
"5145",7.3,0.2,0.29,19.5,0.039,237,3.1,0.48,9.2,6,0
"5013",6.7,0.21,0.48,14.8,0.05,195,2.95,0.75,8.8,6,0
"772",9.4,0.685,0.26,2.4,0.082,143,3.28,0.55,9.4,5,1
"1939",6.6,0.18,0.35,1.5,0.049,141,3.43,0.85,10.2,7,0
"2842",8.1,0.43,0.42,6.6,0.033,141,2.98,0.39,13.3,7,0
"9",7.8,0.58,0.02,2,0.073,18,3.36,0.57,9.5,7,1
"2685",7.3,0.31,0.69,10.2,0.041,160,3.06,0.45,8.6,5,0
"2704",7.3,0.31,0.69,10.2,0.041,160,3.06,0.45,8.6,5,0
"6301",6.4,0.69,0.09,7.6,0.044,144,3.26,0.38,10.1,6,0
"6302",6.4,0.69,0.09,7.6,0.044,144,3.26,0.38,10.1,6,0
"4891",5.6,0.12,0.33,2.9,0.044,73,3.17,0.32,12.9,8,0
"4901",5.6,0.12,0.33,2.9,0.044,73,3.17,0.32,12.9,8,0
"873",7.3,0.35,0.24,2,0.067,48,3.43,0.54,10,4,1
"705",9.1,0.765,0.04,1.6,0.078,14,3.29,0.54,9.7,4,1
"3530",9.2,0.27,0.34,10.5,0.043,228,3.04,0.41,10.4,6,0
"3536",9.2,0.27,0.34,10.5,0.043,228,3.04,0.41,10.4,6,0
"1045",6.4,0.39,0.33,3.3,0.046,53,3.36,0.62,12.2,6,1
"6179",6,0.2,0.26,14.7,0.045,125,2.99,0.69,9.4,6,0
"654",9.4,0.33,0.59,2.8,0.079,30,3.12,0.54,12,6,1
"2574",7.1,0.13,0.38,1.8,0.046,114,3.32,0.9,11.7,6,0
"2932",7.9,0.16,0.64,17,0.05,210,3.15,0.51,9.3,7,0
"758",8.1,0.87,0,2.2,0.084,31,3.25,0.5,9.8,5,1
"759",8.1,0.87,0,2.2,0.084,31,3.25,0.5,9.8,5,1
"5255",6.8,0.52,0.26,5.7,0.038,130,3.11,0.27,13,7,0
"5036",6.9,0.24,0.23,7.1,0.041,97,3.1,0.85,11.4,6,0
"1337",6,0.5,0,1.4,0.057,26,3.36,0.45,9.5,5,1
"1338",6,0.5,0,1.4,0.057,26,3.36,0.45,9.5,5,1
"1339",6,0.5,0,1.4,0.057,26,3.36,0.45,9.5,5,1
"6196",6.7,0.53,0.29,4.3,0.069,114,3.22,0.59,13.4,6,0
"3290",9,0.43,0.3,1.5,0.05,175,3.11,0.45,9.7,4,0
"2864",7.2,0.14,0.35,1.2,0.036,73,3.46,0.39,9.9,5,0
"590",10.2,0.29,0.49,2.6,0.059,13,3.05,0.74,10.5,7,1
"603",7.7,0.835,0,2.6,0.081,14,3.3,0.52,9.3,5,1
"1076",9.1,0.25,0.34,2,0.071,67,3.44,0.86,10.2,7,1
"3970",6.3,0.1,0.24,6,0.039,107,3.59,0.49,10.5,7,0
"5862",6.9,0.52,0.54,7.9,0.036,169,3.26,0.47,12.2,6,0
"4590",5,0.27,0.32,4.5,0.032,178,3.45,0.31,12.6,7,0
"4607",5,0.27,0.32,4.5,0.032,178,3.45,0.31,12.6,7,0
"5863",7,0.55,0.05,8,0.036,164,3.26,0.46,12.2,6,0
"1026",8.6,0.83,0,2.8,0.095,43,3.33,0.6,10.4,6,1
"4728",5,0.24,0.21,2.2,0.039,100,3.69,0.62,11.7,6,0
"3084",7.5,0.32,0.24,4.6,0.053,134,3.14,0.5,9.1,3,0
"189",7.9,0.5,0.33,2,0.084,143,3.2,0.55,9.5,5,1
"2037",6.6,0.16,0.32,1.4,0.035,186,3.35,0.64,12.4,8,0
"1460",7.9,0.2,0.35,1.7,0.054,15,3.32,0.8,11.9,7,1
"6245",5,0.24,0.34,1.1,0.034,158,3.32,0.32,13.1,7,0
"2793",7.3,0.22,0.4,14.75,0.042,129.5,3.36,0.41,9.1,7,0
"2797",7.3,0.22,0.4,14.75,0.042,129.5,3.36,0.41,9.1,7,0
"2506",8.3,0.27,0.45,1.3,0.048,72,3.08,0.61,10.3,4,0
"4556",8.1,0.12,0.38,0.9,0.034,86,2.8,0.55,12,6,0
"3592",7,0.12,0.28,6.3,0.057,103,3.5,0.44,9.6,5,0
"2170",7.4,0.41,0.66,10.8,0.051,194,3.05,0.46,8.7,5,0
"2180",7.4,0.41,0.66,10.8,0.051,194,3.05,0.46,8.7,5,0
"1401",7.9,0.69,0.21,2.1,0.08,141,3.25,0.51,9.9,5,1
"1402",7.9,0.69,0.21,2.1,0.08,141,3.25,0.51,9.9,5,1
"4772",6.7,0.33,0.36,6.6,0.042,116,2.97,0.31,12.2,8,0
"1502",7.8,0.82,0.29,4.3,0.083,64,3.16,0.53,9.4,5,1
"1711",7.2,0.27,0.46,18.75,0.052,255,3.04,0.52,8.9,5,0
"856",7.6,0.735,0.02,2.5,0.071,14,3.51,0.71,11.7,7,1
"1415",10,0.32,0.59,2.2,0.077,15,3.2,0.78,9.6,5,1
"1417",10,0.32,0.59,2.2,0.077,15,3.2,0.78,9.6,5,1
"3452",6.4,0.18,0.31,1.6,0.049,127,3.6,0.67,10.4,7,0
"3511",7.1,0.18,0.26,1.3,0.041,71,3.04,0.74,9.9,6,0
"3517",7.1,0.18,0.26,1.3,0.041,71,3.04,0.74,9.9,6,0
"4679",6.6,0.35,0.34,4.9,0.032,125,3.32,0.81,12,5,0
"2939",8.4,0.58,0.27,12.15,0.033,116,2.99,0.39,10.8,6,0
"2942",8.4,0.58,0.27,12.15,0.033,116,2.99,0.39,10.8,6,0
"3266",7.8,0.445,0.56,1,0.04,84,3.25,0.43,10.8,5,0
"1382",6.8,0.83,0.09,1.8,0.074,25,3.38,0.45,9.6,5,1
"4001",9.2,0.16,0.49,2,0.044,107,3.1,0.53,10.2,4,0
"1286",11.3,0.37,0.5,1.8,0.09,47,3.15,0.57,10.5,5,1
"1062",9.1,0.4,0.5,1.8,0.071,16,3.21,0.69,12.5,8,1
"4774",6.9,0.36,0.35,8.6,0.038,125,3,0.32,12.4,8,0
"5723",6.6,0.44,0.32,3,0.095,75,3.1,0.63,12.8,6,0
"5601",6.4,0.25,0.57,1,0.062,122,3,0.4,9.5,5,0
"5607",6.4,0.25,0.57,1,0.062,122,3,0.4,9.5,5,0
"774",7.9,0.4,0.29,1.8,0.157,44,3.3,0.92,9.5,6,1
"3219",6.2,0.22,0.49,6,0.029,128,3.41,0.36,11.3,8,0
"4875",6.5,0.48,0.02,0.9,0.043,99,3.14,0.47,9.8,4,0
"2213",7.5,0.21,0.68,10.9,0.045,133,3,0.36,8.7,5,0
"2214",7.5,0.21,0.68,10.9,0.045,133,3,0.36,8.7,5,0
"1273",5.9,0.46,0,1.9,0.077,44,3.5,0.53,11.2,5,1
"1123",6.3,0.47,0,1.4,0.055,33,3.45,0.48,12.3,6,1
"1364",8,0.83,0.27,2,0.08,63,3.29,0.48,9.8,4,1
"632",10.4,0.28,0.54,2.7,0.105,19,3.25,0.63,9.5,5,1
"538",8.1,0.825,0.24,2.1,0.084,13,3.37,0.77,10.7,6,1
"3990",7,0.28,0.26,1.7,0.042,130,3.43,0.5,10.7,8,0
"2945",7.3,0.39,0.37,1.1,0.043,113,3.39,0.48,12.7,8,0
"5451",5.9,0.17,0.29,3.1,0.03,123,3.41,0.33,13.7,7,0
"1730",5.7,0.26,0.25,10.4,0.02,57,3.39,0.37,10.6,5,0
"2736",6,0.26,0.42,5.2,0.027,178,3.4,0.4,12.3,8,0
"1550",7.4,0.36,0.3,1.8,0.074,24,3.24,0.7,11.4,8,1
"6346",6.3,0.23,0.5,10.4,0.043,132,2.86,0.46,9.1,6,0
"2880",7.8,0.16,0.41,1.7,0.026,140,3.02,0.78,12.5,6,0
"2885",7.8,0.16,0.41,1.7,0.026,140,3.02,0.78,12.5,6,0
"5562",7.2,0.58,0.27,5.8,0.032,118,3.17,0.53,13,7,0
"1882",6.8,0.44,0.37,5.1,0.047,201,3.08,0.65,10.5,4,0
"1957",6.1,0.36,0.33,1.1,0.05,169,3.15,0.78,9.5,6,0
"4220",6.5,0.28,0.28,20.4,0.041,144,3.14,0.38,8.7,5,0
"3273",6.6,0.27,0.31,5.3,0.137,163,3.2,0.38,9.3,5,0
"1264",8.2,0.78,0,2.2,0.089,26,3.37,0.46,9.6,4,1
"570",6.2,0.36,0.24,2.2,0.095,42,3.57,0.57,11.7,6,1
"572",6.2,0.36,0.24,2.2,0.095,42,3.57,0.57,11.7,6,1
"1583",6.1,0.715,0.1,2.6,0.053,27,3.57,0.5,11.9,5,1
"888",10.7,0.52,0.38,2.6,0.066,56,3.15,0.79,12.1,7,1
"5020",7.6,0.28,0.49,20.15,0.06,145,3.01,0.44,8.5,5,0
"2194",6.4,0.475,0.06,1,0.03,131,2.97,0.29,10.8,5,0
"2203",6.4,0.475,0.06,1,0.03,131,2.97,0.29,10.8,5,0
"3576",6.8,0.28,0.37,7,0.057,208,3.57,0.55,10.2,5,0
"5618",6.4,0.18,0.48,18,0.054,183,2.98,0.61,8.5,6,0
"5718",6.5,0.43,0.31,3.6,0.046,143,3.15,0.34,12,8,0
"3877",7.4,0.14,0.3,1.3,0.033,91,3.53,0.39,10.6,6,0
"3264",8.1,0.28,0.46,15.4,0.059,177,3.27,0.58,9,4,0
"1152",6.1,0.58,0.23,2.5,0.044,70,3.46,0.65,12.5,6,1
"4831",6.8,0.21,0.37,7,0.038,107,2.98,0.82,11.5,6,0
"5232",6.5,0.21,0.51,17.6,0.045,125,3.2,0.47,8.8,6,0
"57",10.2,0.42,0.57,3.4,0.07,10,3.04,0.63,9.6,5,1
"3090",5.6,0.185,0.49,1.1,0.03,117,3.55,0.45,10.3,6,0
"1919",6.1,0.125,0.25,3.3,0.04,69,3.54,0.59,10.1,6,0
"773",9.5,0.57,0.27,2.3,0.082,144,3.27,0.55,9.4,5,1
"901",8.9,0.31,0.36,2.6,0.056,39,3.4,0.69,11.8,5,1
"619",11.4,0.46,0.5,2.7,0.122,17,3.13,0.7,10.2,5,1
"1809",6.1,0.4,0.31,0.9,0.048,170,3.22,0.77,9.5,6,0
"1513",6.4,0.79,0.04,2.2,0.061,17,3.53,0.65,10.4,6,1
"343",10.9,0.39,0.47,1.8,0.118,14,3.3,0.75,9.8,6,1
"344",10.9,0.39,0.47,1.8,0.118,14,3.3,0.75,9.8,6,1
"4741",5.9,0.33,0.32,8.1,0.038,34,3.22,0.36,12.7,7,0
"108",6.2,0.63,0.31,1.7,0.088,64,3.46,0.79,9.3,5,1
"1420",7.7,0.64,0.21,2.2,0.077,133,3.27,0.45,9.9,5,1
"1148",10,0.41,0.45,6.2,0.071,14,3.21,0.49,11.8,7,1
"646",7.8,0.64,0.1,6,0.115,11,3.37,0.69,10.1,7,1
"486",10.2,0.67,0.39,1.9,0.054,17,3.17,0.47,10,5,1
"487",10.2,0.67,0.39,1.9,0.054,17,3.17,0.47,10,5,1
"1522",6.9,0.48,0.2,1.9,0.082,23,3.39,0.43,9.05,4,1
"3478",8,0.25,0.26,14,0.043,248,3.03,0.57,8.7,6,0
"6408",7.3,0.35,0.67,8.3,0.053,100,3.19,0.5,10.9,5,0
"1101",8.4,0.34,0.42,2.1,0.072,36,3.11,0.78,12.4,6,1
"2003",7.1,0.27,0.31,18.2,0.046,252,3.07,0.56,8.7,5,0
"1684",7.1,0.43,0.61,11.8,0.045,155,3.11,0.45,8.7,5,0
"1688",7.1,0.43,0.61,11.8,0.045,155,3.11,0.45,8.7,5,0
"3653",8.6,0.485,0.29,4.1,0.026,101,3.01,0.38,12.4,5,0
"3654",8.6,0.485,0.29,4.1,0.026,101,3.01,0.38,12.4,5,0
"3651",6.8,0.21,0.27,18.15,0.042,146,3.3,0.36,8.7,5,0
"3652",6.8,0.21,0.27,18.15,0.042,146,3.3,0.36,8.7,5,0
"3656",6.8,0.21,0.27,18.15,0.042,146,3.3,0.36,8.7,5,0
"5632",6.8,0.27,0.22,17.8,0.034,116,3.07,0.53,9.2,5,0
"5634",6.8,0.27,0.22,17.8,0.034,116,3.07,0.53,9.2,5,0
"2856",7.3,0.18,0.65,1.4,0.046,157,3.33,0.62,9.4,6,0
"2862",7.3,0.18,0.65,1.4,0.046,157,3.33,0.62,9.4,6,0
"3558",7.4,0.32,0.55,16.6,0.056,238,2.96,0.58,8.7,6,0
"3563",7.4,0.32,0.55,16.6,0.056,238,2.96,0.58,8.7,6,0
"2058",6,0.37,0.32,1,0.053,218.5,3.29,0.72,9.8,6,0
"5916",7.2,0.585,0.2,10.4,0.086,94,3.13,0.4,9.4,5,0
"49",6.4,0.4,0.23,1.6,0.066,12,3.34,0.56,9.2,5,1
"454",10.4,0.33,0.63,2.8,0.084,22,3.26,0.74,11.2,7,1
"459",10.4,0.33,0.63,2.8,0.084,22,3.26,0.74,11.2,7,1
"573",10.2,0.24,0.49,2.4,0.075,28,3.14,0.61,10.4,5,1
"775",7.9,0.4,0.3,1.8,0.157,45,3.31,0.91,9.5,6,1
"983",7.3,0.52,0.32,2.1,0.07,70,3.34,0.82,12.9,6,1
"6101",6.6,0.54,0.21,16.3,0.055,182,3.35,0.54,10.4,6,0
"1000",6.4,0.69,0,1.65,0.055,12,3.47,0.53,12.9,6,1
"1369",8,0.77,0.32,2.1,0.079,74,3.27,0.5,9.8,6,1
"1004",6.8,0.36,0.32,1.8,0.067,8,3.36,0.55,12.8,7,1
"1006",6.8,0.36,0.32,1.8,0.067,8,3.36,0.55,12.8,7,1
"1710",6.5,0.17,0.54,8.5,0.082,163,2.89,0.39,8.8,6,0
"4773",6.7,0.33,0.34,7.5,0.036,124,2.99,0.32,12.4,8,0
"1772",7.6,0.48,0.37,0.8,0.037,100,3.03,0.39,11.4,4,0
"1434",6.1,0.4,0.16,1.8,0.069,25,3.42,0.74,10.1,7,1
"4565",5.5,0.34,0.26,2.2,0.021,119,3.55,0.49,13,8,0
"2725",6.3,0.55,0.45,13,0.047,182,3.2,0.46,9.2,6,0
"1406",7.7,0.28,0.3,2,0.062,34,3.28,0.9,11.3,7,1
"418",7,0.58,0.12,1.9,0.091,124,3.44,0.48,10.5,5,1
"1178",7.1,0.66,0,2.4,0.052,11,3.35,0.66,12.7,7,1
"3196",6.6,0.55,0.01,2.7,0.034,122,3.15,0.3,11.9,5,0
"273",10.9,0.37,0.58,4,0.071,65,3.22,0.78,10.1,5,1
"371",6.9,0.765,0.02,2.3,0.063,63,3.57,0.78,9.9,5,1
"2937",6.7,0.18,0.3,6.4,0.048,251,3.29,0.52,10,5,0
"2938",6.7,0.18,0.3,6.4,0.048,251,3.29,0.52,10,5,0
"2953",6.7,0.18,0.3,6.4,0.048,251,3.29,0.52,10,5,0
"470",8.7,0.82,0.02,1.2,0.07,48,3.2,0.58,9.8,5,1
"1673",8.6,0.23,0.46,1,0.054,72,2.95,0.49,9.1,6,0
"4406",7.5,0.17,0.71,11.8,0.038,148,3.03,0.46,8.9,5,0
"3561",9.5,0.21,0.47,1.3,0.039,123,2.9,0.64,9.5,5,0
"3864",6.6,0.19,0.43,10.9,0.045,154,3.52,0.77,10.4,6,0
"3867",6.6,0.19,0.43,10.9,0.045,154,3.52,0.77,10.4,6,0
"4723",5.5,0.18,0.22,5.5,0.037,86,3.46,0.44,12.2,5,0
"2212",7.5,0.23,0.68,11,0.047,133,2.99,0.38,8.8,5,0
"2215",7.5,0.23,0.68,11,0.047,133,2.99,0.38,8.8,5,0
"4407",7.5,0.18,0.72,9.6,0.039,151,3.03,0.46,8.9,5,0
"5620",6.4,0.37,0.12,5.9,0.056,91,3.06,0.46,8.4,4,0
"1296",6.6,0.63,0,4.3,0.093,77.5,3.2,0.45,9.5,5,1
"1297",6.6,0.63,0,4.3,0.093,77.5,3.2,0.45,9.5,5,1
"2867",8,0.22,0.42,14.6,0.044,163,3.21,0.69,8.6,7,0
"2870",8,0.22,0.42,14.6,0.044,163,3.21,0.69,8.6,7,0
"2876",8,0.22,0.42,14.6,0.044,163,3.21,0.69,8.6,7,0
"669",10,0.73,0.43,2.3,0.059,31,3.15,0.57,11,5,1
"2108",5.9,0.62,0.28,3.5,0.039,152,3.44,0.44,12,6,0
"2755",7.6,0.33,0.36,2.1,0.034,172,3.42,0.48,10.5,4,0
"1827",7.1,0.25,0.32,10.3,0.041,272,3.17,0.52,9.1,6,0
"4562",6.9,0.38,0.38,13.1,0.112,94,3.02,0.48,9.2,5,0
"1958",10,0.2,0.39,1.4,0.05,152,3,0.42,10.4,6,0
"5614",6.5,0.18,0.48,18,0.054,183,2.98,0.61,8.5,6,0
"5518",6.4,0.35,0.28,1.6,0.037,113,3.12,0.4,14.2,7,0
"1037",7.6,0.31,0.34,2.5,0.082,35,3.22,0.59,12.5,7,1
"1033",8.1,0.82,0,4.1,0.095,14,3.36,0.53,9.6,5,1
"2065",6.3,0.21,0.58,10,0.081,126,2.95,0.46,8.9,5,0
"1088",7.9,0.19,0.42,1.6,0.057,30,3.29,0.69,11.2,6,1
"1546",6.5,0.63,0.33,1.8,0.059,28,3.36,0.64,10.1,6,1
"1943",5.4,0.31,0.47,3,0.053,144,3.29,0.76,10,5,0
"6139",8.3,0.14,0.36,8.8,0.026,60,3.13,0.35,11.05,5,0
"2266",6.8,0.22,0.37,1.7,0.036,195,3.35,0.72,12.5,6,0
"4004",9.8,0.16,0.46,1.8,0.046,130,3.04,0.67,9.6,5,0
"404",11.4,0.6,0.49,2.7,0.085,41,3.15,0.63,10.5,6,1
"1412",6.4,0.47,0.4,2.4,0.071,19,3.56,0.73,10.6,6,1
"4927",5.8,0.17,0.36,1.3,0.036,70,3.43,0.68,10.4,7,0
"144",6.3,0.39,0.08,1.7,0.066,20,3.34,0.58,9.4,5,1
"2657",7.2,0.51,0.24,10,0.093,197,3.41,0.47,9,5,0
"2607",5.1,0.52,0.06,2.7,0.052,79,3.32,0.43,9.3,5,0
"2193",6.4,0.45,0.07,1.1,0.03,131,2.97,0.28,10.8,5,0
"2202",6.4,0.45,0.07,1.1,0.03,131,2.97,0.28,10.8,5,0
"3735",7.2,0.16,0.26,7.1,0.054,224,3.38,0.55,10.1,5,0
"3737",7.2,0.16,0.26,7.1,0.054,224,3.38,0.55,10.1,5,0
"2632",7.1,0.3,0.36,6.8,0.055,234,3.49,0.64,10.2,6,0
"2633",7.1,0.3,0.36,6.8,0.055,234,3.49,0.64,10.2,6,0
"807",8.4,0.25,0.39,2,0.041,10,3.27,0.71,12.5,7,1
"1861",6.9,0.29,0.4,19.45,0.043,156,2.93,0.47,8.9,5,0
"1865",6.9,0.29,0.4,19.45,0.043,156,2.93,0.47,8.9,5,0
"1896",8.3,0.39,0.7,10.6,0.045,169,3.09,0.57,9.4,5,0
"366",10,0.42,0.5,3.4,0.107,21,3.26,0.93,11.8,6,1
"4429",7.1,0.26,0.32,16.2,0.044,170,3.17,0.37,11.2,5,0
"1241",7.5,0.61,0.2,1.7,0.076,60,3.1,0.4,9.3,5,1
"3012",6.9,0.3,0.33,4.1,0.035,155,3.25,0.79,12.3,8,0
"3124",6.6,0.21,0.49,18.15,0.042,158,3.28,0.39,8.7,6,0
"3129",6.6,0.21,0.49,18.15,0.042,158,3.28,0.39,8.7,6,0
"5857",5.8,0.32,0.23,1.5,0.033,121,2.96,0.35,12,5,0
"580",10.6,0.31,0.49,2.2,0.063,40,3.14,0.51,9.8,6,1
"2130",6.4,0.1,0.35,4.9,0.048,103,3.43,0.79,9.7,6,0
"528",7,0.38,0.49,2.5,0.097,85,3.39,0.77,11.4,6,1
"1635",7.3,0.28,0.43,1.7,0.08,123,3.19,0.42,12.8,5,0
"3995",7,0.27,0.29,3.9,0.059,199,3.54,0.59,10.3,5,0
"5431",6.8,0.31,0.19,3.5,0.086,130,2.83,0.44,9.6,5,0
"5432",6.8,0.31,0.19,3.5,0.086,130,2.83,0.44,9.6,5,0
"474",9.9,0.35,0.55,2.1,0.062,14,3.26,0.79,10.6,5,1
"1825",7.1,0.24,0.41,17.8,0.046,145,3.32,0.39,8.7,5,0
"1829",7.1,0.24,0.41,17.8,0.046,145,3.32,0.39,8.7,5,0
"2674",6.2,0.55,0.45,12,0.049,186,3.17,0.5,9.3,6,0
"5525",8.6,0.22,0.33,1.2,0.031,95,2.83,0.31,10.3,5,0
"285",9.9,0.59,0.07,3.4,0.102,71,3.31,0.71,9.8,5,1
"286",9.9,0.59,0.07,3.4,0.102,71,3.31,0.71,9.8,5,1
"5054",5.8,0.54,0,1.4,0.033,107,3.26,0.35,12.4,5,0
"414",9.9,0.4,0.53,6.7,0.097,19,3.27,0.82,11.7,7,1
"3218",6.4,0.37,0.49,13.3,0.045,243,3.14,0.48,8.5,6,0
"1360",11.6,0.475,0.4,1.4,0.091,28,3.07,0.65,10.0333333333333,6,1
"1363",11.6,0.475,0.4,1.4,0.091,28,3.07,0.65,10.0333333333333,6,1
"1511",6.4,0.36,0.21,2.2,0.047,48,3.47,0.77,9.7,6,1
"2294",7.6,0.29,0.58,17.5,0.041,225,3.16,0.66,9.5,6,0
"733",7.3,0.835,0.03,2.1,0.092,19,3.39,0.47,9.6,5,1
"4815",7.1,0.14,0.33,1,0.104,54,3.19,0.64,11.5,6,0
"1403",7.6,0.3,0.42,2,0.052,24,3.44,0.82,11.9,6,1
"2319",7.4,0.29,0.5,1.8,0.042,127,3.45,0.5,10.2,7,0
"3006",8.2,0.22,0.36,6.8,0.034,90,3.01,0.38,10.5,8,0
"5480",6,0.28,0.24,17.8,0.047,111,3.1,0.45,8.9,6,0
"5481",6,0.28,0.24,17.8,0.047,111,3.1,0.45,8.9,6,0
"5484",6,0.28,0.24,17.8,0.047,111,3.1,0.45,8.9,6,0
"5488",6,0.28,0.24,17.8,0.047,111,3.1,0.45,8.9,6,0
"310",7.4,0.29,0.38,1.7,0.062,30,3.41,0.53,9.5,6,1
"3383",8.7,0.45,0.4,1.5,0.067,100,3.27,0.57,10.1,6,0
"346",7,0.685,0,1.9,0.067,63,3.6,0.81,9.9,5,1
"5003",8.8,0.27,0.25,5,0.024,99,2.87,0.49,11.4,5,0
"6406",6.6,0.28,0.09,10.9,0.051,131,2.93,0.62,9.5,6,0
"4806",6.6,0.29,0.39,6.75,0.031,98,3.15,0.8,12.9,7,0
"948",8.3,0.28,0.48,2.1,0.093,12,3.26,0.62,12.4,7,1
"952",8.3,0.28,0.48,2.1,0.093,12,3.26,0.62,12.4,7,1
"5757",7.4,0.16,0.3,13.7,0.056,168,2.9,0.44,8.7,7,0
"5758",7.4,0.16,0.3,13.7,0.056,168,2.9,0.44,8.7,7,0
"5759",7.4,0.16,0.3,13.7,0.056,168,2.9,0.44,8.7,7,0
"5760",7.4,0.16,0.3,13.7,0.056,168,2.9,0.44,8.7,7,0
"5761",7.4,0.16,0.3,13.7,0.056,168,2.9,0.44,8.7,7,0
"5762",7.4,0.16,0.3,13.7,0.056,168,2.9,0.44,8.7,7,0
"5770",7.4,0.16,0.3,13.7,0.056,168,2.9,0.44,8.7,7,0
"6447",4.4,0.54,0.09,5.1,0.038,97,3.41,0.4,12.2,7,0
"4495",6.4,0.44,0.26,2,0.054,180,3.58,0.57,10,5,0
"3442",8.2,0.18,0.31,11.8,0.039,249,3.07,0.52,9.5,6,0
"166",7.8,0.63,0.48,1.7,0.1,96,3.19,0.62,9.5,5,1
"1027",7.9,0.31,0.32,1.9,0.066,36,3.41,0.56,12.6,6,1
"940",6.2,0.46,0.17,1.6,0.073,11,3.61,0.54,11.4,5,1
"151",7.3,0.33,0.47,2.1,0.077,11,3.33,0.53,10.3,6,1
"6219",6.4,0.62,0.12,4.7,0.06,196,3.22,0.48,8.9,5,0
"5493",7,0.34,0.1,3.5,0.044,63,3.01,0.39,9.2,5,0
"5500",7,0.34,0.1,3.5,0.044,63,3.01,0.39,9.2,5,0
"931",6.6,0.61,0.01,1.9,0.08,25,3.69,0.73,10.5,5,1
"935",6.6,0.61,0.01,1.9,0.08,25,3.69,0.73,10.5,5,1
"3072",7.8,0.21,0.49,1.35,0.052,48,3.15,0.28,11.4,5,0
"3436",7,0.19,0.23,5.7,0.123,104,3.04,0.54,9.4,6,0
"3439",7,0.19,0.23,5.7,0.123,104,3.04,0.54,9.4,6,0
"4807",6.8,0.21,0.42,1.2,0.045,126,3.09,0.87,10.9,6,0
"130",6.1,0.38,0.15,1.8,0.072,19,3.42,0.57,9.4,5,1
"5031",7.1,0.18,0.39,15.25,0.047,158,3.34,0.77,9.1,6,0
"91",7.9,0.52,0.26,1.9,0.079,140,3.23,0.54,9.5,5,1
"2332",8.8,0.28,0.45,6,0.022,49,3.01,0.33,11.1,7,0
"1839",6.2,0.25,0.21,15.55,0.039,159,3.48,0.64,9.6,6,0
"5631",6.4,0.29,0.57,1,0.06,120,3.06,0.41,9.5,5,0
"5638",6.4,0.29,0.57,1,0.06,120,3.06,0.41,9.5,5,0
"548",10.6,0.31,0.49,2.5,0.067,21,3.26,0.86,10.7,6,1
"5407",6.8,0.21,0.62,6.4,0.041,113,2.96,0.59,10.2,5,0
"782",6.5,0.46,0.14,2.4,0.114,37,3.66,0.65,9.8,5,1
"784",6.5,0.46,0.14,2.4,0.114,37,3.66,0.65,9.8,5,1
"3252",8.2,0.29,0.49,1,0.044,118,3.24,0.36,10.9,4,0
"522",7.6,0.41,0.49,2,0.088,43,3.48,0.64,9.1,5,1
"2461",7.3,0.25,0.42,14.2,0.041,182,3.29,0.75,9.1,7,0
"3207",5.8,0.19,0.49,4.9,0.04,118,3.34,0.38,9.5,7,0
"1304",8,0.28,0.44,1.8,0.081,68,3.36,0.66,11.2,5,1
"5198",5.8,0.2,0.24,1.4,0.033,169,3.59,0.56,12.3,7,0
"1494",7.7,0.54,0.26,1.9,0.089,147,3.26,0.59,9.7,5,1
"1497",7.7,0.54,0.26,1.9,0.089,147,3.26,0.59,9.7,5,1
"4011",8,0.27,0.25,19.1,0.045,208,3.05,0.5,9.2,6,0
"325",10,0.49,0.2,11,0.071,50,3.16,0.69,9.2,6,1
"326",10,0.49,0.2,11,0.071,50,3.16,0.69,9.2,6,1
"1114",8.9,0.24,0.39,1.6,0.074,10,3.12,0.59,9.5,6,1
"5780",6.5,0.31,0.61,13,0.053,123,3.09,0.5,9.3,6,0
"2923",6.2,0.2,0.26,1.7,0.093,161,3.44,0.66,11,5,0
"2436",7.3,0.25,0.36,2.1,0.034,177,3.25,0.4,11.9,8,0
"2437",7.3,0.25,0.36,2.1,0.034,177,3.25,0.4,11.9,8,0
"2438",7.3,0.25,0.36,2.1,0.034,177,3.25,0.4,11.9,8,0
"3256",5.8,0.15,0.49,1.1,0.048,98,3.19,0.48,9.2,5,0
"5989",6.3,0.28,0.22,9.5,0.04,111,3.05,0.31,10.8,4,0
"5061",6.7,0.24,0.3,3.85,0.042,179,3.04,0.59,11.3,8,0
"5070",6.7,0.24,0.3,3.85,0.042,179,3.04,0.59,11.3,8,0
"2492",5.9,0.26,0.3,1,0.036,114,3.58,0.48,9.4,5,0
